date,UV,exTemp,exHumid,Win_dir,Win_speed,Temp_inL(F),Temp_inL(C),Temp_inH(F),Temp_inH(C),Humi_inL(F),Humi_inL(C),Humi_inH(F),Humi_inH(C),heater_1,CirFan,Insolation,NutSol_Temp,NutSol_EC,NutSol_pH,NutSol_inTemp,NutSol_exTemp,NutSol_inHumid,NutSol_exHumid,NutSol_Insolatn,NutSol_UV,GHa01_height,GHb01_height,GHb02_height,GHb03_height,GHc01_height,GHc02_height,GHc03_height,GHd01_height,GHd02_height,GHd03_height,GHe01_height,GHe02_height,GHe03_height,GHf01_height,GHf03_height
2023-11-23 6:40,0,10.2,94.8,1,0,11.33,11.47,18.5,12.68,73.7,72.36,72.62,73.58,1,0.35,6,19,0.46,6.36,18.5,10.3,72.66,94.9,5,0,1.27,0.42,1.27,0.42,2.12,1.27,0.42,0.42,2.12,2.12,1.27,1.06,1.06,0.42,0.85
2023-11-23 6:50,0,9.4,94.6,1,0,11.33,11.47,18.49,12.68,73.7,72.36,71.14,73.58,1,0.35,124,19,0.46,6.36,18.48,9.5,71.26,94.6,100,0,1.29,0.43,1.29,0.43,2.15,1.29,0.43,0.43,2.15,2.15,1.29,1.08,1.08,0.43,0.86
2023-11-23 7:00,0.2,9,95,1,0,11.33,11.47,18.39,12.68,73.7,72.36,69.87,73.58,1,0.35,840,19,0.46,6.36,18.4,9,69.96,95,746,0.1,1.31,0.44,1.31,0.44,2.18,1.31,0.44,0.44,2.18,2.18,1.31,1.09,1.09,0.44,0.87
2023-11-23 7:10,2,8.3,94.1,1,0,11.33,11.47,18.28,12.68,73.7,72.36,68.97,73.58,1,0.35,3209,19,0.46,6.36,18.28,8.3,68.97,94.1,2995,1.8,1.32,0.44,1.32,0.44,2.21,1.32,0.44,0.44,2.21,2.21,1.32,1.1,1.1,0.44,0.88
2023-11-23 7:20,5.7,8,94,1,0,11.33,11.47,18.16,12.68,73.7,72.36,68.38,73.58,1,0.35,8132,19,0.46,6.36,18.17,8,68.35,94,7794,5.6,1.34,0.45,1.34,0.45,2.23,1.34,0.45,0.45,2.23,2.23,1.34,1.12,1.12,0.45,0.89
2023-11-23 7:30,10.9,8,94,1,0,11.33,11.47,18.08,12.68,73.7,72.36,67.91,73.58,1,0.35,14901,18.9,0.45,6.36,18.1,8,67.86,94,14526,10.7,1.36,0.45,1.36,0.45,2.26,1.36,0.45,0.45,2.26,2.26,1.36,1.13,1.13,0.45,0.91
2023-11-23 7:40,17.5,8,93,1,0,11.33,11.47,18,12.68,73.7,72.36,67.48,73.58,1,0.35,23267,18.6,0.46,6.36,18,8,67.46,93,22706,17,1.37,0.46,1.37,0.46,2.29,1.37,0.46,0.46,2.29,2.29,1.37,1.15,1.15,0.46,0.92
2023-11-23 7:50,25.3,8,92,1,0,11.33,11.47,18,12.68,73.7,72.36,67.36,73.58,1,0.35,33554,18.1,0.46,6.36,18,8,67.25,92,32831,24.7,1.39,0.46,1.39,0.46,2.32,1.39,0.46,0.46,2.32,2.32,1.39,1.16,1.16,0.46,0.93
2023-11-23 8:00,32.8,8,91.6,1,0,11.33,11.47,18.05,12.68,73.7,72.36,67.29,73.58,1,0.35,43279,18,0.46,6.35,18.05,8,67.35,91.7,42649,32.5,1.41,0.47,1.41,0.47,2.35,1.41,0.47,0.47,2.35,2.35,1.41,1.17,1.17,0.47,0.94
2023-11-23 8:10,41.9,8,91.4,1,0,11.33,11.47,18.13,12.68,73.7,72.36,67.46,73.58,1,0.35,55165,18,0.46,6.35,18.12,8,67.43,91.5,54041,41,1.42,0.47,1.42,0.47,2.37,1.42,0.47,0.47,2.37,2.37,1.42,1.19,1.19,0.47,0.95
2023-11-23 8:20,54.8,8.8,88.3,1,0,11.33,11.47,18.38,12.68,73.7,72.36,69.07,73.58,1,0.35,73156,18,0.46,6.35,18.37,8.8,68.99,88.7,72545,54.1,1.44,0.48,1.44,0.48,2.4,1.44,0.48,0.48,2.4,2.4,1.44,1.2,1.2,0.48,0.96
2023-11-23 8:30,65,9.9,83.6,1,0,11.33,11.47,18.87,12.68,73.7,72.36,71.22,73.58,1,0.35,86383,18,0.46,6.35,18.85,9.8,71.05,83.8,85545,64.4,1.46,0.49,1.46,0.49,2.43,1.46,0.49,0.49,2.43,2.43,1.46,1.21,1.21,0.49,0.97
2023-11-23 8:40,79.2,10,81.1,1,0,11.33,11.47,19.5,12.68,73.7,72.36,69.49,73.58,1,0.35,105107,18,0.46,6.34,19.46,10,69.18,81.1,104021,78.4,1.47,0.49,1.47,0.49,2.46,1.47,0.49,0.49,2.46,2.46,1.47,1.23,1.23,0.49,0.98
2023-11-23 8:50,95.9,10.7,78.4,1.5,0,11.33,11.47,20.08,12.68,73.7,72.36,68.49,73.58,1,0.35,124873,18,0.46,6.35,20.05,10.7,68.8,78.8,123749,94.8,1.49,0.5,1.49,0.5,2.48,1.49,0.5,0.5,2.48,2.48,1.49,1.24,1.24,0.5,0.99
2023-11-23 9:00,135.41,9.03,76.79,43.95,0.11,11.33,11.47,19.29,12.68,73.7,72.36,65.22,73.58,0.19,0.35,124764.14,17.08,0.53,6.42,17.94,9.03,58.14,76.78,123576.28,131.81,1.51,0.5,1.51,0.5,2.51,1.51,0.5,0.5,2.51,2.51,1.51,1.26,1.26,0.5,1
2023-11-23 9:10,240.6,11.7,74.2,1.7,0,11.33,11.47,21.75,12.68,73.7,72.36,61.25,73.58,0,0.35,172581,18,0.45,6.45,21.69,11.6,61.42,74.5,170520,234.3,1.52,0.51,1.52,0.51,2.54,1.52,0.51,0.51,2.54,2.54,1.52,1.27,1.27,0.51,1.02
2023-11-23 9:20,310.6,12.4,72.6,2.3,0,11.33,11.47,22.85,12.68,73.7,72.36,59.67,73.58,0.1,0.35,192933,18,0.44,6.47,22.79,12.5,59.71,72.5,192014,307.6,1.54,0.51,1.54,0.51,2.57,1.54,0.51,0.51,2.57,2.57,1.54,1.28,1.28,0.51,1.03
2023-11-23 9:30,361.4,12,75.4,193.6,0,11.33,11.47,23.55,12.68,73.7,72.36,57.48,73.58,0.2,0.35,208003,18,0.44,6.49,23.53,12,57.31,75.2,207153,359.2,1.56,0.52,1.56,0.52,2.6,1.56,0.52,0.52,2.6,2.6,1.56,1.3,1.3,0.52,1.04
2023-11-23 9:40,424.1,12,76.5,183,0.05,11.33,11.47,23.98,12.68,73.7,72.36,56.72,73.58,0,0.35,226474,18,0.43,6.52,23.94,12,57.49,76.5,226120,422.7,1.57,0.52,1.57,0.52,2.62,1.57,0.52,0.52,2.62,2.62,1.57,1.31,1.31,0.52,1.05
2023-11-23 9:50,468.2,12.7,76.6,178.1,0.1,11.33,11.47,24.6,12.68,73.7,72.36,55.52,73.58,0,0.35,239621,18,0.43,6.52,24.57,12.6,55.78,76.4,239447,468.1,1.59,0.53,1.59,0.53,2.65,1.59,0.53,0.53,2.65,2.65,1.59,1.33,1.33,0.53,1.06
2023-11-23 10:00,687.7,13,74,182.3,0,11.33,11.47,25.69,12.68,73.7,72.36,54.11,73.58,0,0.35,302451,18,0.43,6.52,25.59,13,54.44,74.2,297970,672.1,1.61,0.54,1.61,0.54,2.68,1.61,0.54,0.54,2.68,2.68,1.61,1.34,1.34,0.54,1.07
2023-11-23 10:10,711,13.2,72.6,187.1,0.15,11.33,11.47,23.53,12.68,73.7,72.36,52.74,73.58,0,0.35,308778,18,0.43,6.53,23.71,13.3,52.33,72.7,310619,717.2,1.62,0.54,1.62,0.54,2.71,1.62,0.54,0.54,2.71,2.71,1.62,1.35,1.35,0.54,1.08
2023-11-23 10:20,752.5,13.3,68.8,194.8,0.15,11.33,11.47,25.6,12.68,73.7,72.36,52.59,73.58,0,0.35,321005,18,0.44,6.53,25.53,13.3,52.59,69.3,321539,756.1,1.64,0.55,1.64,0.55,2.73,1.64,0.55,0.55,2.73,2.73,1.64,1.37,1.37,0.55,1.09
2023-11-23 10:30,647.7,14,53.1,176.1,0.1,11.33,11.47,23.68,12.68,73.7,72.36,45.17,73.58,0,0.35,290162,18,0.44,6.54,23.89,14,44.42,53.8,292351,654.9,1.66,0.55,1.66,0.55,2.76,1.66,0.55,0.55,2.76,2.76,1.66,1.38,1.38,0.55,1.11
2023-11-23 10:40,920.78,14.89,53.78,181,0.06,11.33,11.47,25.67,12.68,73.7,72.36,47.62,73.58,0,0.35,368390,18,0.43,6.54,25.37,14.78,48.1,54.22,368135.56,920.22,1.67,0.56,1.67,0.56,2.79,1.67,0.56,0.56,2.79,2.79,1.67,1.39,1.39,0.56,1.12
2023-11-23 10:50,887.11,15,53.78,177,0.45,11.33,11.47,24.69,12.68,73.7,72.36,43.67,73.58,0,0.35,358811.11,18,0.43,6.54,24.98,15,43.2,54,355893.33,877.56,1.69,0.56,1.69,0.56,2.82,1.69,0.56,0.56,2.82,2.82,1.69,1.41,1.41,0.56,1.13
2023-11-23 11:00,882.63,14.25,53.75,153.5,0.45,11.33,11.47,24.16,12.68,73.7,72.36,46.99,73.58,0,0.35,357835,18,0.43,6.55,23.94,14.5,46.65,53.5,387691.25,988.63,1.71,0.57,1.71,0.57,2.84,1.71,0.57,0.57,2.84,2.84,1.71,1.42,1.42,0.57,1.14
2023-11-23 11:10,1031.56,14.89,51,168.56,0.34,11.33,11.47,23.89,12.68,73.7,72.36,43.81,73.58,0,0.35,400973.33,18,0.43,6.56,24.03,14.78,42.97,51.11,396176.67,1016,1.72,0.57,1.72,0.57,2.87,1.72,0.57,0.57,2.87,2.87,1.72,1.44,1.44,0.57,1.15
2023-11-23 11:20,1041.44,15,53.11,166.56,0.34,11.33,11.47,26.07,12.68,73.7,72.36,43.49,73.58,0,0.35,404408.89,18,0.43,6.56,26.02,15,43.04,53.11,402795.56,1036.89,1.74,0.58,1.74,0.58,2.9,1.74,0.58,0.58,2.9,2.9,1.74,1.45,1.45,0.58,1.16
2023-11-23 11:30,1037.6,15,54,161.2,0.36,11.33,11.47,23.67,12.68,73.7,72.36,45.88,73.58,0,0.35,403091,18,0.45,6.55,23.77,15,45.55,54.3,404070,1041.2,1.76,0.59,1.76,0.59,2.93,1.76,0.59,0.59,2.93,2.93,1.76,1.46,1.46,0.59,1.17
2023-11-23 11:40,1040.5,15,48.25,164.63,0.64,11.33,11.47,25.89,12.68,73.7,72.36,43.31,73.58,0,0.35,403976.25,18.63,0.47,6.55,25.7,15,44.14,48.5,399192.5,1023.63,1.77,0.59,1.77,0.59,2.96,1.77,0.59,0.59,2.96,2.96,1.77,1.48,1.48,0.59,1.18
2023-11-23 11:50,1043.67,15,48.11,143.78,0.57,11.33,11.47,23.69,12.68,73.7,72.36,43.7,73.58,0,0.35,405227.78,19,0.47,6.57,23.57,15,43.49,48.11,409560,1058.56,1.79,0.6,1.79,0.6,2.99,1.79,0.6,0.6,2.99,2.99,1.79,1.49,1.49,0.6,1.19
2023-11-23 12:00,1010,15,49.43,119.14,0.36,11.33,11.47,25.3,12.68,73.7,72.36,41.47,73.58,0,0.35,394737.14,19,0.47,6.57,25.39,15,41.81,49.57,401172.86,1029.29,1.81,0.6,1.81,0.6,3.01,1.81,0.6,0.6,3.01,3.01,1.81,1.51,1.51,0.6,1.21
2023-11-23 12:10,1003.9,15,47,171.5,0.36,11.33,11.47,23.35,12.68,73.7,72.36,42.55,73.58,0,0.35,392831,19,0.47,6.58,23.38,15,43.04,47.5,395090,1011.3,1.82,0.61,1.82,0.61,3.04,1.82,0.61,0.61,3.04,3.04,1.82,1.52,1.52,0.61,1.22
2023-11-23 12:20,1068.56,15,47.67,150.56,0.51,11.33,11.47,23.82,12.68,73.7,72.36,43.92,73.58,0,0.35,413433.33,19,0.47,6.59,23.6,15,43.7,47.78,410137.78,1059.78,1.84,0.61,1.84,0.61,3.07,1.84,0.61,0.61,3.07,3.07,1.84,1.53,1.53,0.61,1.23
2023-11-23 12:30,998,15,45.75,114,0.51,11.33,11.47,26.05,12.68,73.7,72.36,39.15,73.58,0,0.35,391655,19,0.47,6.59,26.13,15,39.08,45.5,410250,1058.75,1.86,0.62,1.86,0.62,3.1,1.86,0.62,0.62,3.1,3.1,1.86,1.55,1.55,0.62,1.24
2023-11-23 12:40,1016.7,15.2,45.2,172.4,0.2,11.33,11.47,24.01,12.68,73.7,72.36,41.16,73.58,0,0.35,396483,19,0.48,6.6,24.01,15.1,40.9,45.1,397121,1018.5,1.87,0.62,1.87,0.62,3.12,1.87,0.62,0.62,3.12,3.12,1.87,1.56,1.56,0.62,1.25
2023-11-23 12:50,925.44,15.89,43.33,146.11,0.4,11.33,11.47,23.79,12.68,73.7,72.36,41.32,73.58,0,0.35,369573.33,19,0.48,6.6,23.82,16,41.5,43.67,378876.67,958.67,1.89,0.63,1.89,0.63,3.15,1.89,0.63,0.63,3.15,3.15,1.89,1.58,1.58,0.63,1.26
2023-11-23 13:00,979.43,15.14,42.57,152.86,0.51,11.33,11.47,24.06,12.68,73.7,72.36,42.14,73.58,0,0.35,385051.43,19,0.48,6.61,23.99,15.14,41.69,42.71,385172.86,979.57,1.91,0.64,1.91,0.64,3.18,1.91,0.64,0.64,3.18,3.18,1.91,1.59,1.59,0.64,1.27
2023-11-23 13:10,866.33,15.67,41.33,189.33,0.51,11.33,11.47,24.13,12.68,73.7,72.36,38.9,73.58,0,0.35,353390,19,0.48,6.62,24.3,15.67,38.8,41.67,348340,849.67,1.93,0.64,1.93,0.64,3.22,1.93,0.64,0.64,3.22,3.22,1.93,1.61,1.61,0.64,1.29
2023-11-23 13:20,901.33,15.44,42,149.78,0.51,11.33,11.47,23.62,12.68,73.7,72.36,40.21,73.58,0,0.35,362731.11,19,0.48,6.63,23.64,15.44,40.17,42.22,357193.33,882,1.94,0.65,1.94,0.65,3.23,1.94,0.65,0.65,3.23,3.23,1.94,1.62,1.62,0.65,1.29
2023-11-23 13:30,956.88,15,41.38,215.75,0.51,11.33,11.47,24.49,12.68,73.7,72.36,41.28,73.58,0,0.35,378546.25,19,0.48,6.63,24.16,15,41.81,41.13,376191.25,948.38,1.96,0.65,1.96,0.65,3.26,1.96,0.65,0.65,3.26,3.26,1.96,1.63,1.63,0.65,1.31
2023-11-23 13:40,882.1,15.4,42.2,122.1,1.07,11.33,11.47,24.74,12.68,73.7,72.36,38.74,73.58,0,0.35,357626,19,0.48,6.57,24.97,15.5,38.61,42,360086,890.8,1.97,0.66,1.97,0.66,3.29,1.97,0.66,0.66,3.29,3.29,1.97,1.65,1.65,0.66,1.32
